,Children_Poverty_Rate,E1,E2,E3,E4,E5,E6,HD1,HD2,L1,L2,O,P1,P2,P3,Q,Component 1,Component 2,Component 3,Segment K-means PCA,Segment,New Code
320,31.1,7.690759009,68.24179542,71.2,9.156590976,64.6824147,49.47916667,7.2,5.2,79.58651447,77.61594395,28.55072464,22.67657993,67.65799257,9.665427509,9.4,0.27716720983307885,-0.010485167579489458,-0.10701423753675825,0,first,E05000345
321,26.9,6.565136859,72.23142451,73.7,7.737918767,67.95501692,49.01960784,7.3,5.1,79.6643492,77.97030597,23.48484848,22.22222222,66.2835249,11.49425287,5.0,0.034377819529061,-0.05206121137297358,-0.2297388236264976,0,first,E05000346
322,30.0,5.92878737,67.98918815,71.0,9.191639386,64.47344895,48.91696751,6.8,5.0,81.93709276,78.99470595,27.04918033,17.79935275,72.16828479,10.03236246,11.8,0.1613961665475279,0.16511550725691132,0.09569130312974745,0,first,E05000347
323,13.6,2.820671196,76.14334043,76.4,5.401745411,72.2976081,42.06008584,4.4,3.1,82.10786042,80.88154905,10.625,18.37606838,69.65811966,11.96581197,5.3,-0.5767107620076888,0.17275677335258033,-0.012720327839328126,1,second,E05000348
324,13.4,2.917564128,77.36743606,76.3,4.291461779,73.06336025,39.62264151,5.3,3.6,84.57323054,83.01927621,12.4,18.56540084,68.35443038,13.08016878,4.4,-0.6498953763965959,0.07931972098125904,-0.010571437719202145,1,second,E05000349
325,29.2,7.37913486,65.64903562,68.3,10.08309364,61.41672124,51.61290323,7.7,5.6,79.9493917,77.25715734,26.66666667,21.56862745,68.23529412,10.19607843,9.5,0.33458329387306324,-0.0704074307672465,0.0058904357535357835,0,first,E05000350
326,22.6,5.545023697,71.57730349,71.5,7.277227723,66.29306277,44.83695652,8.3,5.9,77.05975376,75.57069182,21.42857143,20.08368201,66.94560669,13.38912134,5.7,0.022511163524757353,-0.09764459671843086,-0.2511440261098037,0,first,E05000351
327,26.7,7.311199037,71.82610325,74.9,7.885687181,68.95082549,47.87077827,5.0,3.7,81.09940144,79.42958935,22.47311828,25.47169811,67.9245283,6.918238994,4.9,-0.0011966490358802536,0.1054620058254456,-0.14662784196821196,0,first,E05000352
328,32.2,8.707804773,66.8911193,70.0,9.955052439,62.99790356,52.75862069,7.1,5.5,81.81230384,78.10311715,27.28571429,23.6,64.8,11.2,5.2,0.2992878182814856,-0.19141709905519522,-0.09301433790100946,0,first,E05000353
329,24.7,5.819397993,72.8901584,73.2,6.849983729,68.21973308,47.83653846,6.4,4.8,80.90782527,79.06027358,21.25,20.74688797,66.80497925,12.03319502,5.0,-0.10523008623447455,-0.01871781907479724,-0.14106953009126838,1,second,E05000354
330,24.1,6.083162218,66.58716909,69.0,9.391913403,62.54257774,52.61437908,7.1,5.6,80.35182108,77.34956978,20.83333333,20.39215686,68.23529412,10.98039216,9.6,0.16020102879351714,-0.054345496314545244,0.05348526126649956,0,first,E05000355
331,25.3,5.994005994,67.50881316,69.3,8.779576588,63.1737818,48.69281046,6.6,4.7,84.1836506,84.09537139,20.32786885,19.921875,69.140625,10.9375,8.8,-0.020181095127800426,-0.04094518699834995,0.23193000291076568,1,second,E05000356
332,32.5,9.188247012,62.21820374,65.5,11.23880345,58.15524305,57.42574257,7.7,5.8,80.57925106,78.54562076,30.58823529,22.56809339,66.53696498,10.50583658,8.5,0.5229292706267292,-0.19709202086723276,0.07538169047667398,0,first,E05000357
333,19.6,4.197622585,71.36317861,74.3,8.877374784,67.68730756,42.8125,5.5,3.7,82.64792112,78.92455629,14.15384615,19.31464174,71.33956386,9.345794393,11.8,-0.20529338974126066,0.19045979619628298,0.11771405969637014,1,second,E05000358
334,27.3,7.670396745,67.5970516,70.9,9.227969847,64.39240273,54.75206612,6.2,4.8,82.09632888,77.43783738,21.125,23.60655738,68.19672131,8.196721311,10.3,0.1944739027326088,0.017076729244802327,0.032009564660819556,0,first,E05000359
